month,type,value
2014-12-01,Observed,144
2015-01-01,Observed,142
2015-02-01,Observed,154
2015-03-01,Observed,142
2015-04-01,Observed,154
2015-05-01,Observed,124
2015-06-01,Observed,137
2015-07-01,Observed,116
2015-08-01,Observed,137
2015-09-01,Observed,116
2015-10-01,Observed,158
2015-11-01,Observed,180
2015-12-01,Observed,166
2016-01-01,Observed,129
2016-02-01,Observed,104
2016-03-01,Observed,128
2016-04-01,Observed,119
2016-05-01,Observed,117
2016-06-01,Observed,94
2016-07-01,Observed,95
2016-08-01,Observed,105
2016-09-01,Observed,132
2016-10-01,Observed,101
2016-11-01,Observed,160
2016-12-01,Observed,198
2017-01-01,Observed,176
2017-02-01,Observed,170
2017-03-01,Observed,153
2017-04-01,Observed,146
2017-05-01,Observed,151
2017-06-01,Observed,174
2017-07-01,Observed,181
2017-08-01,Observed,153
2017-09-01,Observed,130
2017-10-01,Observed,144
2017-11-01,Observed,140
2014-12-01,Trend,135.10790298824125
2015-01-01,Trend,135.99778145014932
2015-02-01,Trend,136.8876599120574
2015-03-01,Trend,137.62677208712125
2015-04-01,Trend,138.3658842621851
2015-05-01,Trend,138.95423361523353
2015-06-01,Trend,139.54258296828198
2015-07-01,Trend,139.76339009612775
2015-08-01,Trend,139.98419722397352
2015-09-01,Trend,138.57638433988484
2015-10-01,Trend,137.16857145579615
2015-11-01,Trend,134.8720417126517
2015-12-01,Trend,132.57551196950726
2016-01-01,Trend,130.03880626292963
2016-02-01,Trend,127.50210055635199
2016-03-01,Trend,125.17671794136578
2016-04-01,Trend,122.85133532637956
2016-05-01,Trend,122.66350006152305
2016-06-01,Trend,122.47566479666654
2016-07-01,Trend,125.4018177844027
2016-08-01,Trend,128.32797077213885
2016-09-01,Trend,132.31148867493025
2016-10-01,Trend,136.29500657772164
2016-11-01,Trend,140.80932563502688
2016-12-01,Trend,145.3236446923321
2017-01-01,Trend,150.09134173977463
2017-02-01,Trend,154.85903878721717
2017-03-01,Trend,155.8664817398124
2017-04-01,Trend,156.8739246924076
2017-05-01,Trend,156.93825759737908
2017-06-01,Trend,157.00259050235056
2017-07-01,Trend,156.8699565203096
2017-08-01,Trend,156.73732253826861
2017-09-01,Trend,156.31010914788527
2017-10-01,Trend,155.88289575750193
2017-11-01,Trend,155.13028586596374
