period,area_code,area_name,type,n
2011,E05000819,Altrincham,Caravan,0
2011,E05000819,Altrincham,Detached,775
2011,E05000819,Altrincham,Flat,1564
2011,E05000819,Altrincham,Semi-detached,1477
2011,E05000819,Altrincham,Terraced,1523
2011,E05000820,Ashton upon Mersey,Caravan,1
2011,E05000820,Ashton upon Mersey,Detached,608
2011,E05000820,Ashton upon Mersey,Flat,857
2011,E05000820,Ashton upon Mersey,Semi-detached,1915
2011,E05000820,Ashton upon Mersey,Terraced,891
2011,E05000821,Bowdon,Caravan,1
2011,E05000821,Bowdon,Detached,1380
2011,E05000821,Bowdon,Flat,1113
2011,E05000821,Bowdon,Semi-detached,758
2011,E05000821,Bowdon,Terraced,648
2011,E05000822,Broadheath,Caravan,1
2011,E05000822,Broadheath,Detached,702
2011,E05000822,Broadheath,Flat,825
2011,E05000822,Broadheath,Semi-detached,2848
2011,E05000822,Broadheath,Terraced,933
2011,E05000823,Brooklands,Caravan,0
2011,E05000823,Brooklands,Detached,838
2011,E05000823,Brooklands,Flat,869
2011,E05000823,Brooklands,Semi-detached,2342
2011,E05000823,Brooklands,Terraced,334
2011,E05000824,Bucklow-St Martins,Caravan,17
2011,E05000824,Bucklow-St Martins,Detached,264
2011,E05000824,Bucklow-St Martins,Flat,708
2011,E05000824,Bucklow-St Martins,Semi-detached,1650
2011,E05000824,Bucklow-St Martins,Terraced,1881
2011,E05000825,Clifford,Caravan,0
2011,E05000825,Clifford,Detached,155
2011,E05000825,Clifford,Flat,1693
2011,E05000825,Clifford,Semi-detached,1074
2011,E05000825,Clifford,Terraced,1897
2011,E05000826,Davyhulme East,Caravan,0
2011,E05000826,Davyhulme East,Detached,400
2011,E05000826,Davyhulme East,Flat,242
2011,E05000826,Davyhulme East,Semi-detached,2713
2011,E05000826,Davyhulme East,Terraced,671
2011,E05000827,Davyhulme West,Caravan,2
2011,E05000827,Davyhulme West,Detached,995
2011,E05000827,Davyhulme West,Flat,265
2011,E05000827,Davyhulme West,Semi-detached,2397
2011,E05000827,Davyhulme West,Terraced,452
2011,E05000828,Flixton,Caravan,0
2011,E05000828,Flixton,Detached,625
2011,E05000828,Flixton,Flat,503
2011,E05000828,Flixton,Semi-detached,3046
2011,E05000828,Flixton,Terraced,511
2011,E05000829,Gorse Hill,Caravan,0
2011,E05000829,Gorse Hill,Detached,102
2011,E05000829,Gorse Hill,Flat,1099
2011,E05000829,Gorse Hill,Semi-detached,2326
2011,E05000829,Gorse Hill,Terraced,1759
2011,E05000830,Hale Barns,Caravan,0
2011,E05000830,Hale Barns,Detached,2329
2011,E05000830,Hale Barns,Flat,382
2011,E05000830,Hale Barns,Semi-detached,1000
2011,E05000830,Hale Barns,Terraced,273
2011,E05000831,Hale Central,Caravan,2
2011,E05000831,Hale Central,Detached,836
2011,E05000831,Hale Central,Flat,665
2011,E05000831,Hale Central,Semi-detached,1360
2011,E05000831,Hale Central,Terraced,1478
2011,E05000832,Longford,Caravan,0
2011,E05000832,Longford,Detached,227
2011,E05000832,Longford,Flat,1181
2011,E05000832,Longford,Semi-detached,2695
2011,E05000832,Longford,Terraced,700
2011,E05000833,Priory,Caravan,0
2011,E05000833,Priory,Detached,309
2011,E05000833,Priory,Flat,1761
2011,E05000833,Priory,Semi-detached,1560
2011,E05000833,Priory,Terraced,1455
2011,E05000834,St Mary's,Caravan,0
2011,E05000834,St Mary's,Detached,1298
2011,E05000834,St Mary's,Flat,940
2011,E05000834,St Mary's,Semi-detached,1715
2011,E05000834,St Mary's,Terraced,1181
2011,E05000835,Sale Moor,Caravan,3
2011,E05000835,Sale Moor,Detached,410
2011,E05000835,Sale Moor,Flat,698
2011,E05000835,Sale Moor,Semi-detached,2153
2011,E05000835,Sale Moor,Terraced,1267
2011,E05000836,Stretford,Caravan,0
2011,E05000836,Stretford,Detached,305
2011,E05000836,Stretford,Flat,1186
2011,E05000836,Stretford,Semi-detached,2341
2011,E05000836,Stretford,Terraced,1056
2011,E05000837,Timperley,Caravan,0
2011,E05000837,Timperley,Detached,527
2011,E05000837,Timperley,Flat,299
2011,E05000837,Timperley,Semi-detached,3274
2011,E05000837,Timperley,Terraced,284
2011,E05000838,Urmston,Caravan,2
2011,E05000838,Urmston,Detached,513
2011,E05000838,Urmston,Flat,1165
2011,E05000838,Urmston,Semi-detached,2194
2011,E05000838,Urmston,Terraced,1027
2011,E05000839,Village,Caravan,0
2011,E05000839,Village,Detached,1024
2011,E05000839,Village,Flat,904
2011,E05000839,Village,Semi-detached,1974
2011,E05000839,Village,Terraced,727
